master_protein	step	RBP_glyco	NC	CL	CL_NC_Ratio
O75400	3	"GO:RBP, Non-Glycoprotein"	24.36929149	24.36858413	-0.159464068
O75400	4	"GO:RBP, Non-Glycoprotein"	23.72366611	23.69645681	-0.005391747
O75475	1	"GO:RBP, Non-Glycoprotein"	22.29770188	21.60594866	-0.122553268
O75475	2	"GO:RBP, Non-Glycoprotein"	21.82130704	22.3571068	0.284047242
O75477	1	"Novel RBP, Glycoprotein"	23.38299711	24.84342318	0.86789144
O75487	3	"Novel RBP, Glycoprotein"	23.59484156	23.87909631	-0.356738007
O75489	1	"Novel RBP, Non-Glycoprotein"	22.71965553	22.57407217	-0.173281559
O75494	1	"GO:RBP, Non-Glycoprotein"	25.61538397	25.71464092	0.068878713
O75494	2	"GO:RBP, Non-Glycoprotein"	25.1437625	25.5676579	0.352259986
O75494	3	"GO:RBP, Non-Glycoprotein"	24.31342376	25.05437184	0.128049113
O75494	4	"GO:RBP, Non-Glycoprotein"	23.6890203	23.92712044	0.379052353
O75533	1	"GO:RBP, Non-Glycoprotein"	23.58757174	24.25080612	0.651287431
O75533	2	"GO:RBP, Non-Glycoprotein"	20.80430213	22.66014559	2.356066375
O75533	3	"GO:RBP, Non-Glycoprotein"	22.39670438	22.98161527	2.444890148
O75533	4	"GO:RBP, Non-Glycoprotein"	19.49417354	20.91347128	3.270897559
O75534	1	"GO:RBP, Non-Glycoprotein"	22.89625876	24.78431042	2.002118454
O75534	2	"GO:RBP, Non-Glycoprotein"	20.35291136	23.71688711	5.528919461
O75534	3	"GO:RBP, Non-Glycoprotein"	21.95338606	24.47385676	3.742330901
O75534	4	"GO:RBP, Non-Glycoprotein"	20.03692353	22.87090656	5.743228615
O75643	1	"GO:RBP, Non-Glycoprotein"	23.19263135	23.44010663	0.283471206
O75643	2	"GO:RBP, Non-Glycoprotein"	20.22034827	22.12807757	1.954933163
O75643	3	"GO:RBP, Non-Glycoprotein"	21.22509054	22.17919624	0.989093094
O75691	3	"GO:RBP, Non-Glycoprotein"	20.5386448	22.59470915	2.732158997
O75691	4	"GO:RBP, Non-Glycoprotein"	NA	19.16160427	NA
O75694	1	"Novel RBP, Glycoprotein"	22.42760729	22.33166744	-0.095939844
O75821	1	"GO:RBP, Non-Glycoprotein"	23.73524802	23.90795443	0.46071685
O75821	2	"GO:RBP, Non-Glycoprotein"	22.0470626	22.55265968	1.163616253
O75822	2	"GO:RBP, Non-Glycoprotein"	20.24758555	23.57448837	3.847663697
O75822	3	"GO:RBP, Non-Glycoprotein"	NA	21.92516621	NA
O75874	1	"Novel RBP, Non-Glycoprotein"	23.76458644	24.55151648	0.490058629
O75882	2	"Novel RBP, Glycoprotein"	22.63977951	21.43890351	-1.127626342
O75882	3	"Novel RBP, Glycoprotein"	22.3280406	21.75901127	-0.735384175
O75882	4	"Novel RBP, Glycoprotein"	21.7164853	20.21203002	-1.816438888
O75909	1	"Novel RBP, Non-Glycoprotein"	17.65298498	21.34922915	2.545220233
O75937	1	"Novel RBP, Non-Glycoprotein"	23.96177808	24.11120055	0.249968193
O75976	1	"Novel RBP, Glycoprotein"	23.08549976	22.82894236	-0.107683774
O75976	2	"Novel RBP, Glycoprotein"	21.84659485	22.30228306	0.736139633
O76021	1	"GO:RBP, Non-Glycoprotein"	24.24318878	25.37236035	1.054140011
O76021	2	"GO:RBP, Non-Glycoprotein"	19.80442804	22.80932077	4.619260725
O76021	3	"GO:RBP, Non-Glycoprotein"	19.76474203	23.77587124	7.160048004
O76021	4	"GO:RBP, Non-Glycoprotein"	16.53882549	22.34199913	7.614620162
O76031	1	"Novel RBP, Non-Glycoprotein"	22.33501801	22.92582217	0.411088214
O76094	1	"GO:RBP, Non-Glycoprotein"	23.5120857	23.23649427	-0.496288598
O94776	1	"Novel RBP, Non-Glycoprotein"	22.50294796	22.5502009	0.008252673
O94826	1	"Novel RBP, Non-Glycoprotein"	24.43992965	23.83551925	-0.463086925
O94880	1	"Novel RBP, Non-Glycoprotein"	23.53385443	23.13246343	-0.401390998
O94925	1	"Novel RBP, Non-Glycoprotein"	23.39384191	23.28096635	0.129573722
O94979	1	"Novel RBP, Non-Glycoprotein"	23.50410105	23.17441913	-0.318698839
O95218	1	"GO:RBP, Non-Glycoprotein"	23.877875	23.44901983	-0.09725303
O95218	2	"GO:RBP, Non-Glycoprotein"	24.48652665	24.42011704	-0.065373201
O95218	3	"GO:RBP, Non-Glycoprotein"	25.82216238	25.38448336	-0.290525296
O95218	4	"GO:RBP, Non-Glycoprotein"	23.6026438	23.74676923	-0.01077741
O95232	1	"GO:RBP, Non-Glycoprotein"	24.3589824	24.47540183	0.056748061
O95232	2	"GO:RBP, Non-Glycoprotein"	25.12878379	25.56200561	0.094762103
O95232	3	"GO:RBP, Non-Glycoprotein"	24.90824287	25.12730878	-0.044336609
O95232	4	"GO:RBP, Non-Glycoprotein"	24.66143407	24.41091627	0.030010931
O95239	1	"Novel RBP, Non-Glycoprotein"	21.49849799	22.4915645	0.993066511
O95347	1	"Novel RBP, Non-Glycoprotein"	22.58441554	22.81773121	0.201725766
O95347	2	"Novel RBP, Non-Glycoprotein"	20.50635047	21.3114356	0.805199669
